subject,session_datetime,trial_id,event_start_time,event_type
subject5,2018-07-03 20:32:28,1,8.812,center
subject5,2018-07-03 20:32:28,1,4.647,left
subject5,2018-07-03 20:32:28,1,3.733,right
subject5,2018-07-03 20:32:28,3,21.198,left
subject5,2018-07-03 20:32:28,3,19.121,left
subject5,2018-07-03 20:32:28,3,25.344,right
subject5,2018-07-03 20:32:28,4,26.769,right
subject5,2018-07-03 20:32:28,4,27.073,right
subject5,2018-07-03 20:32:28,4,32.411,center
subject5,2018-07-03 20:32:28,5,35.048,right
subject5,2018-07-03 20:32:28,5,35.091,left
subject5,2018-07-03 20:32:28,9,72.032,right
subject5,2018-07-03 20:32:28,10,83.279,left
subject5,2018-07-03 20:32:28,11,90.027,right
subject5,2018-07-03 20:32:28,14,115.413,center
subject5,2018-07-03 20:32:28,14,111.274,center
subject5,2018-07-03 20:32:28,15,125.791,left
subject5,2018-07-03 20:32:28,16,135.069,left
subject5,2018-07-03 20:32:28,16,128.56,center
subject5,2018-07-03 20:32:28,16,133.69,center
subject5,2018-07-03 20:32:28,19,158.744,center
subject5,2018-07-03 20:32:28,19,152.561,right
subject5,2018-07-03 20:32:28,22,186.771,center
subject5,2018-07-03 20:32:28,22,185.484,right
subject5,2018-07-03 20:32:28,22,182.107,left
subject5,2018-07-03 20:32:28,23,192.072,right
subject5,2018-07-03 20:32:28,23,187.923,center
subject5,2018-07-03 20:32:28,24,198.2,right
subject5,2018-07-03 20:32:28,24,198.436,left
subject5,2018-07-03 20:32:28,26,213.439,right
subject5,2018-07-03 20:32:28,26,214.028,center
subject5,2018-07-03 20:32:28,26,215.391,right
subject5,2018-07-03 20:32:28,29,237.248,left
subject5,2018-07-03 20:32:28,31,261.215,left
subject5,2018-07-03 20:32:28,33,277.311,center
subject5,2018-07-03 20:32:28,33,271.487,center
subject5,2018-07-03 20:32:28,33,277.392,center
subject5,2018-07-03 20:32:28,34,282.147,left
subject5,2018-07-03 20:32:28,34,283.893,right
subject5,2018-07-03 20:32:28,35,288.407,center
subject5,2018-07-03 20:32:28,35,291.126,right
subject5,2018-07-03 20:32:28,35,287.522,center
subject5,2018-07-03 20:32:28,36,301.118,left
subject5,2018-07-03 20:32:28,36,298.515,right
subject5,2018-07-03 20:32:28,37,312.081,right
subject5,2018-07-03 20:32:28,37,305.579,left
subject5,2018-07-03 20:32:28,37,309.113,left
subject5,2018-07-03 20:32:28,39,324.653,left
subject5,2018-07-03 20:32:28,39,322.778,left
subject5,2018-07-03 20:32:28,40,336.635,center
subject5,2018-07-03 20:32:28,40,332.538,right
subject5,2018-07-03 20:32:28,40,331.889,right
