probe_type,electrode,shank,shank_col,shank_row,x_coord,y_coord
neuropixels 1.0 - 3A,0,0,0,0,16.0,0.0
neuropixels 1.0 - 3A,1,0,1,0,48.0,0.0
neuropixels 1.0 - 3A,2,0,0,1,0.0,20.0
neuropixels 1.0 - 3A,3,0,1,1,32.0,20.0
neuropixels 1.0 - 3A,4,0,0,2,16.0,40.0
neuropixels 1.0 - 3A,5,0,1,2,48.0,40.0
neuropixels 1.0 - 3A,6,0,0,3,0.0,60.0
neuropixels 1.0 - 3A,7,0,1,3,32.0,60.0
neuropixels 1.0 - 3A,8,0,0,4,16.0,80.0
neuropixels 1.0 - 3A,9,0,1,4,48.0,80.0
neuropixels 1.0 - 3A,10,0,0,5,0.0,100.0
neuropixels 1.0 - 3A,11,0,1,5,32.0,100.0
neuropixels 1.0 - 3A,12,0,0,6,16.0,120.0
neuropixels 1.0 - 3A,13,0,1,6,48.0,120.0
neuropixels 1.0 - 3A,14,0,0,7,0.0,140.0
neuropixels 1.0 - 3A,15,0,1,7,32.0,140.0
neuropixels 1.0 - 3A,16,0,0,8,16.0,160.0
neuropixels 1.0 - 3A,17,0,1,8,48.0,160.0
neuropixels 1.0 - 3A,18,0,0,9,0.0,180.0
neuropixels 1.0 - 3A,19,0,1,9,32.0,180.0
neuropixels 1.0 - 3A,20,0,0,10,16.0,200.0
neuropixels 1.0 - 3A,21,0,1,10,48.0,200.0
neuropixels 1.0 - 3A,22,0,0,11,0.0,220.0
neuropixels 1.0 - 3A,23,0,1,11,32.0,220.0
neuropixels 1.0 - 3A,24,0,0,12,16.0,240.0
neuropixels 1.0 - 3A,25,0,1,12,48.0,240.0
neuropixels 1.0 - 3A,26,0,0,13,0.0,260.0
neuropixels 1.0 - 3A,27,0,1,13,32.0,260.0
neuropixels 1.0 - 3A,28,0,0,14,16.0,280.0
neuropixels 1.0 - 3A,29,0,1,14,48.0,280.0
neuropixels 1.0 - 3A,30,0,0,15,0.0,300.0
neuropixels 1.0 - 3A,31,0,1,15,32.0,300.0
neuropixels 1.0 - 3A,32,0,0,16,16.0,320.0
neuropixels 1.0 - 3A,33,0,1,16,48.0,320.0
neuropixels 1.0 - 3A,34,0,0,17,0.0,340.0
neuropixels 1.0 - 3A,35,0,1,17,32.0,340.0
neuropixels 1.0 - 3A,36,0,0,18,16.0,360.0
neuropixels 1.0 - 3A,37,0,1,18,48.0,360.0
neuropixels 1.0 - 3A,38,0,0,19,0.0,380.0
neuropixels 1.0 - 3A,39,0,1,19,32.0,380.0
neuropixels 1.0 - 3A,40,0,0,20,16.0,400.0
neuropixels 1.0 - 3A,41,0,1,20,48.0,400.0
neuropixels 1.0 - 3A,42,0,0,21,0.0,420.0
neuropixels 1.0 - 3A,43,0,1,21,32.0,420.0
neuropixels 1.0 - 3A,44,0,0,22,16.0,440.0
neuropixels 1.0 - 3A,45,0,1,22,48.0,440.0
neuropixels 1.0 - 3A,46,0,0,23,0.0,460.0
neuropixels 1.0 - 3A,47,0,1,23,32.0,460.0
neuropixels 1.0 - 3A,48,0,0,24,16.0,480.0
neuropixels 1.0 - 3A,49,0,1,24,48.0,480.0
neuropixels 1.0 - 3A,50,0,0,25,0.0,500.0
neuropixels 1.0 - 3A,51,0,1,25,32.0,500.0
neuropixels 1.0 - 3A,52,0,0,26,16.0,520.0
neuropixels 1.0 - 3A,53,0,1,26,48.0,520.0
neuropixels 1.0 - 3A,54,0,0,27,0.0,540.0
neuropixels 1.0 - 3A,55,0,1,27,32.0,540.0
neuropixels 1.0 - 3A,56,0,0,28,16.0,560.0
neuropixels 1.0 - 3A,57,0,1,28,48.0,560.0
neuropixels 1.0 - 3A,58,0,0,29,0.0,580.0
neuropixels 1.0 - 3A,59,0,1,29,32.0,580.0
neuropixels 1.0 - 3A,60,0,0,30,16.0,600.0
neuropixels 1.0 - 3A,61,0,1,30,48.0,600.0
neuropixels 1.0 - 3A,62,0,0,31,0.0,620.0
neuropixels 1.0 - 3A,63,0,1,31,32.0,620.0
neuropixels 1.0 - 3A,64,0,0,32,16.0,640.0
neuropixels 1.0 - 3A,65,0,1,32,48.0,640.0
neuropixels 1.0 - 3A,66,0,0,33,0.0,660.0
neuropixels 1.0 - 3A,67,0,1,33,32.0,660.0
neuropixels 1.0 - 3A,68,0,0,34,16.0,680.0
neuropixels 1.0 - 3A,69,0,1,34,48.0,680.0
neuropixels 1.0 - 3A,70,0,0,35,0.0,700.0
neuropixels 1.0 - 3A,71,0,1,35,32.0,700.0
neuropixels 1.0 - 3A,72,0,0,36,16.0,720.0
neuropixels 1.0 - 3A,73,0,1,36,48.0,720.0
neuropixels 1.0 - 3A,74,0,0,37,0.0,740.0
neuropixels 1.0 - 3A,75,0,1,37,32.0,740.0
neuropixels 1.0 - 3A,76,0,0,38,16.0,760.0
neuropixels 1.0 - 3A,77,0,1,38,48.0,760.0
neuropixels 1.0 - 3A,78,0,0,39,0.0,780.0
neuropixels 1.0 - 3A,79,0,1,39,32.0,780.0
neuropixels 1.0 - 3A,80,0,0,40,16.0,800.0
neuropixels 1.0 - 3A,81,0,1,40,48.0,800.0
neuropixels 1.0 - 3A,82,0,0,41,0.0,820.0
neuropixels 1.0 - 3A,83,0,1,41,32.0,820.0
neuropixels 1.0 - 3A,84,0,0,42,16.0,840.0
neuropixels 1.0 - 3A,85,0,1,42,48.0,840.0
neuropixels 1.0 - 3A,86,0,0,43,0.0,860.0
neuropixels 1.0 - 3A,87,0,1,43,32.0,860.0
neuropixels 1.0 - 3A,88,0,0,44,16.0,880.0
