subject,session_datetime,block_id,trial_id,trial_start_time,trial_stop_time,trial_type,attribute_name,attribute_value
subject6,2021-01-15 11:16:38,1,1,0.123,17.123,stim,lumen,851
subject6,2021-01-15 11:16:38,1,2,17.54,34.54,ctrl,lumen,762
subject6,2021-01-15 11:16:38,1,3,34.81,51.81,ctrl,lumen,634
subject6,2021-01-15 11:16:38,1,4,52.202,69.202,ctrl,lumen,707
subject6,2021-01-15 11:16:38,1,5,69.611,86.611,stim,lumen,507
subject6,2021-01-15 11:16:38,1,6,87.03,104.03,stim,lumen,541
subject6,2021-01-15 11:16:38,1,7,104.165,121.165,ctrl,lumen,543
subject6,2021-01-15 11:16:38,1,8,121.502,138.502,ctrl,lumen,791
subject6,2021-01-15 11:16:38,1,9,138.612,155.612,ctrl,lumen,696
subject6,2021-01-15 11:16:38,1,10,155.741,172.741,stim,lumen,973
subject6,2021-01-15 11:16:38,1,11,173.101,190.101,stim,lumen,504
subject6,2021-01-15 11:16:38,1,12,190.433,207.433,stim,lumen,985
subject6,2021-01-15 11:16:38,1,13,207.788,224.788,ctrl,lumen,803
subject6,2021-01-15 11:16:38,1,14,225.163,242.163,ctrl,lumen,942
subject6,2021-01-15 11:16:38,1,15,242.351,259.351,ctrl,lumen,835
subject6,2021-01-15 11:16:38,1,16,259.577,276.577,ctrl,lumen,996
subject6,2021-01-15 11:16:38,1,17,276.695,293.695,stim,lumen,631
subject6,2021-01-15 11:16:38,1,18,293.985,310.985,stim,lumen,621
subject6,2021-01-15 11:16:38,1,19,311.152,328.152,stim,lumen,767
subject6,2021-01-15 11:16:38,1,20,328.523,345.523,ctrl,lumen,529
subject6,2021-01-15 11:16:38,1,21,345.944,362.944,stim,lumen,886
subject6,2021-01-15 11:16:38,1,22,363.362,380.362,stim,lumen,810
subject6,2021-01-15 11:16:38,1,23,380.503,397.503,stim,lumen,664
subject6,2021-01-15 11:16:38,1,24,397.887,414.887,stim,lumen,612
subject6,2021-01-15 11:16:38,1,25,476.155,493.155,stim,lumen,950
subject6,2021-01-15 11:16:38,2,26,493.517,510.517,stim,lumen,0
subject6,2021-01-15 11:16:38,2,27,510.72,527.72,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,28,527.866,544.866,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,29,545.114,562.114,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,30,562.331,579.331,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,31,579.437,596.437,stim,lumen,0
subject6,2021-01-15 11:16:38,2,32,596.811,613.811,stim,lumen,0
subject6,2021-01-15 11:16:38,2,33,614.125,631.125,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,34,631.516,648.516,stim,lumen,0
subject6,2021-01-15 11:16:38,2,35,648.63,665.63,stim,lumen,0
subject6,2021-01-15 11:16:38,2,36,665.929,682.929,stim,lumen,0
subject6,2021-01-15 11:16:38,2,37,683.141,700.141,ctrl,lumen,0
subject6,2021-01-15 11:16:38,2,38,700.313,717.313,stim,lumen,0
subject6,2021-01-15 11:16:38,2,39,717.586,734.586,stim,lumen,0
subject6,2021-01-15 11:16:38,2,40,734.714,751.714,stim,lumen,0
subject6,2021-01-15 11:16:38,2,41,752.075,769.075,ctrl,lumen,0
